,MPr1,MPr2,MPr3,MPr4,MPr5,MPr6,MIn1,MIn2,MIn3,MIn4,MIn5,MIn6
CE(14:0),3.500608627,3.252719117,3.681419418,3.665132783,5.095856062,3.485104926,6.058100403,4.96095687,-16.60964047,3.597659577,2.868301618,3.94917089
CE(14:1),4.496787445,8.568340677,2.937161408,6.508249722,-16.60964047,7.146957943,5.856543569,5.758027899,3.201977834,6.247475283,4.580276765,4.145820159
CE(16:0),3.154380816,4.149125971,6.229728182,7.136812327,4.242122295,5.118196102,7.313053436,8.800914024,5.079926667,4.092586712,4.899335312,4.820642936
CE(16:1),2.943373973,2.983919103,4.430427964,4.961533691,4.601011268,4.462190483,8.363879233,5.39593158,3.355611225,3.935009108,4.288468165,5.065235369
CE(16:2),1.761430763,5.007289104,4.283673536,3.050070059,4.364728544,5.90126355,6.695662689,4.060608934,-16.60964047,4.949931087,4.895249731,-16.60964047
CE(18:0),2.421306971,3.498250201,3.83745218,4.780432945,5.094138229,3.894861912,7.319237899,5.23923968,4.618229334,2.804246396,5.027946562,5.177361917
CE(18:1),4.607769704,7.132894128,6.768598306,8.832657645,5.072117171,7.492594107,10.14129224,9.807682374,6.702426473,6.503562654,6.318979177,7.003529404
CE(18:2),3.123742873,4.275240018,5.762108699,6.671700157,4.494196136,3.631323735,10.16403971,5.944811397,4.018490396,3.477929626,5.505763413,5.401177102
CE(18:3),3.422632806,2.578354783,0.921394873,0.677119725,4.98057597,4.075130136,8.575654265,4.603860455,3.827975089,1.994860307,3.45772426,4.656151315
CE(20:0),4.290925068,5.88471328,5.807335745,-16.60964047,4.896977258,4.760212195,8.80455918,5.433310437,-16.60964047,3.897575332,4.296023653,5.668634487
CE(20:1),3.817974252,5.117734215,5.406455907,6.078591706,4.300637222,1.147569734,8.636841344,7.996821039,4.60264619,3.378594839,3.752272641,5.209685202
CE(20:2),2.14301058,3.137933828,5.890031072,6.892952436,4.692148767,5.828591306,7.155257684,6.463857357,4.056130096,2.280822569,4.560811574,4.390779105
CE(20:3),1.476082511,5.208654951,5.05651666,6.816598782,4.82308532,4.912226783,8.496444994,6.850453782,4.837801438,4.848294525,7.226681464,5.241682747
CE(20:4),1.248565163,6.966198777,5.644760118,6.003881294,6.296870529,4.799564301,10.9412643,6.543551969,4.012775245,6.114510114,8.086117941,5.652710552
CE(20:5),3.201688721,3.885102995,2.800869972,3.14118791,5.771029603,1.741195137,9.420321455,3.472213675,3.141936093,2.950688632,7.193071273,2.755083491
CE(22:0),4.196958266,-16.60964047,5.424303218,4.080385827,3.655613358,2.686301397,4.871513507,2.791581209,2.358762723,4.789695693,1.18856269,2.264141699
CE(22:1),1.319046003,3.872678334,4.545629861,3.749266553,3.48823938,3.432062853,7.948291664,5.633931213,5.175731564,4.950138079,5.263185039,4.324855153
CE(22:2),4.466068365,3.94889149,4.977843671,3.644630476,5.576578203,4.522185552,8.713696427,4.212144192,-16.60964047,1.902069662,4.60164652,4.869020742
CE(22:3),2.48675389,3.834483882,5.255483344,4.803889867,5.359526145,5.543418969,7.733617392,5.867405266,4.150953421,1.275895347,4.819116161,5.545925395
CE(22:4),3.690519762,3.642846845,5.155946642,4.753806999,5.444280418,2.988408761,5.977921603,5.198863814,4.139026483,3.360226676,7.425826638,5.461008755
CE(22:5),4.06093301,6.989106883,4.810180843,6.510290778,5.393183939,6.940196679,8.553562011,7.048855536,5.769113335,5.801615245,7.75074751,7.118933378
CE(22:6),3.59801927,7.786691345,7.295108038,8.775378081,6.272641685,6.797151744,10.43941051,7.8541795,7.583544699,8.463853421,8.269503355,8.492266487
Cer(d18:0/14:0),-5.113917584,-5.191273564,-5.107215039,-5.207152455,-6.168244767,-4.574074296,-4.393959482,-5.277398225,-5.909209686,-4.79984514,-5.115961521,-5.056428595
Cer(d18:0/16:0),-1.585684681,-2.379033605,-1.486708753,-2.883653919,-3.227777603,-1.444458384,0.764084336,-3.012974943,-2.737949174,-1.384288549,-1.424593489,-1.439291974
Cer(d18:0/18:0),-4.969456285,-5.282492291,-4.440809556,-5.504102833,-6.32124615,-3.930419072,-2.712322856,-5.533197555,-4.861659012,-4.596211609,-3.926314105,-4.788940943
Cer(d18:0/18:1),-7.344313292,-7.611459078,-6.888630175,-7.738959815,-7.813251351,-7.366061355,-6.23670611,-7.937448528,-7.504408961,-7.586588376,-7.33900268,-7.404257493
Cer(d18:0/20:0),-6.578222532,-8.294177041,-6.741818278,-8.265813852,-7.238302258,-5.931498127,-3.333200325,-8.036645108,-7.226034885,-6.39743667,-5.851577781,-5.994550593
Cer(d18:0/22:0),-5.524854205,-5.198543394,-4.441046729,-5.769458238,-5.132241409,-3.764583003,-1.826318074,-5.766420769,-5.14121101,-4.421936215,-3.522106578,-4.422367529
Cer(d18:1/14:0),1.485650777,2.044261784,1.920263016,2.277163415,0.098552192,2.066146607,2.005496731,2.064016552,1.393929123,2.038241053,2.420500792,2.786641375
Cer(d18:1/16:0),3.044271514,2.158460576,2.426907569,2.1326693,2.491471866,4.163184541,3.751014074,2.278787941,2.211171696,2.283396061,4.021333658,1.637307583
Cer(d18:1/18:0),0.886842134,-0.531621299,0.202278257,0.428037093,-0.448544962,1.299161151,1.624724233,1.174853847,-0.218774893,-0.382140226,0.319436815,-0.351664662
Cer(d18:1/18:1),-1.752097261,-2.337053245,-2.13936386,-3.380920807,-3.409538682,-2.819076241,-0.248642829,-2.733014188,-3.195698669,-2.693441574,-1.882176777,-1.561478005
Cer(d18:1/20:0),-0.484456934,-3.257957478,-3.007120253,-3.285183316,-2.852309433,-1.435029495,-0.133309501,-2.804890671,-3.972311647,-2.845550763,-1.324398906,-1.910501594
Cer(d18:1/22:0),0.097708519,-0.044837524,0.851702818,-0.402427256,0.494291065,1.270195397,2.545207094,0.807600243,-0.143603001,0.060289688,2.996971615,0.844188678
DG(14:0/14:0),0.218156296,1.581386034,3.176652125,2.57489063,-0.799428363,2.863080427,-16.60964047,5.042324781,-16.60964047,-1.654641288,0.018107561,3.884258702
DG(14:0/16:0),0.968300216,1.551222537,1.822388485,2.211003255,1.814990196,2.503713343,-0.392240931,1.032285217,-16.60964047,1.503885879,0.398740758,-0.332563785
DG(14:0/16:1),1.044418061,2.018215166,1.206923724,1.912220564,1.039974386,1.137872351,0.156654264,-16.60964047,-16.60964047,1.663673708,0.936719072,0.202337962
DG(14:0/18:0),-16.60964047,-16.60964047,-16.60964047,-16.60964047,1.476853441,-16.60964047,-16.60964047,-16.60964047,-16.60964047,-16.60964047,1.301958492,0.851156615
